device_brand,os,screen_size,4g,5g,rear_camera_mp,front_camera_mp,internal_memory,ram,battery,weight,release_year,days_used,normalized_used_price,normalized_new_price,deprecation (percentage loss in value)
Honor,Android,14.5,yes,no,13,5,64,3,3020,146,2020,127,4.307572449,4.715100245,8.643035669
Honor,Android,17.3,yes,yes,13,16,128,8,4300,213,2020,325,5.162096647,5.519017936,6.467115946
Honor,Android,16.69,yes,yes,13,8,128,8,4200,213,2020,162,5.111083765,5.884630724,13.14520818
Honor,Android,25.5,yes,yes,13,8,64,6,7250,480,2020,345,5.135386588,5.630960854,8.800882813
Honor,Android,15.32,yes,no,13,8,64,3,5000,185,2020,293,4.389994804,4.947837479,11.2744745
Honor,Android,16.23,yes,no,13,8,64,4,4000,176,2020,223,4.413888608,5.060694494,12.78097081
Honor,Android,13.84,yes,no,8,5,32,2,3020,144,2020,234,3.878259375,4.518958489,14.1780261
Honor,Android,15.77,yes,no,13,8,64,4,3400,164,2020,219,4.729421148,5.18872569,8.851971938
Honor,Android,15.32,yes,no,13,16,128,6,4000,165,2020,161,4.886054204,5.299916088,7.808838426
Honor,Android,16.23,yes,no,13,8,128,6,4000,176,2020,327,4.773223771,5.073610093,5.92056379
Honor,Android,15.47,yes,no,13,8,64,3,3020,150,2020,268,4.26703657,4.713665782,9.475198978
Honor,Android,15.32,yes,no,13,8,64,4,5000,185,2020,344,4.657383057,4.770176021,2.364545113
Honor,Android,16.69,yes,yes,13,16,128,8,4100,206,2019,537,5.383255763,6.213967894,13.36846513
Honor,Android,15.32,yes,no,13,16,64,4,4000,171.5,2019,336,4.617592706,5.398750764,14.46923728
Honor,Android,14.5,yes,no,13,5,32,2,3020,146,2019,230,4.111365547,4.487512143,8.382074165
Honor,Android,16.23,yes,no,13,8,64,4,4000,176,2019,248,4.411221293,4.866225902,9.350256609
Honor,Android,15.9,yes,no,13,32,128,6,3750,172,2019,395,5.022366217,5.517934708,8.981050288
Honor,Android,16.74,yes,no,13,16,64,4,4000,206,2019,421,4.777020443,5.193179048,8.013561658
Honor,Android,14.5,yes,no,13,5,32,2,3020,146,2019,532,4.248638089,4.792313433,11.34473677
Honor,Android,25.43,yes,no,5,2,32,3,5100,173,2019,266,4.267877613,5.517051209,22.64205186
Honor,Android,20.32,yes,no,8,8,32,3,5100,173,2019,321,4.556295018,5.304001183,14.09702108
Others,Android,20.32,no,no,8,0.3,16,1,5680,453.6,2013,933,4.45213555,5.48438191,18.82156234
HTC,Android,15.29,yes,no,13,16,32,3,3850,170,2019,187,4.560800238,5.195730778,12.22023556
HTC,Android,12.88,yes,no,13,13,64,4,3075,150,2019,499,4.595624773,5.39771011,14.85973349
HTC,Android,15.29,yes,no,13,8,32,3,3300,160,2019,497,4.426521875,5.006091654,11.57729061
HTC,Android,15.24,yes,no,13,14.5,128,6,3930,180,2019,202,5.213467289,6.039968956,13.68387277
HTC,Android,15.29,yes,no,13,16,64,4,3850,170,2019,493,4.636668853,5.631426812,17.66440357
Huawei,Android,15.37,yes,yes,10.5,16,128,6,4000,192,2020,91,4.905496976,5.520380334,11.13842382
Huawei,Android,15.37,yes,yes,10.5,16,64,6,4000,182,2020,299,4.820442843,5.39603374,10.66692546
Huawei,Android,15.32,yes,no,10.5,16,128,4,4000,163,2020,354,4.577901759,5.558024257,17.63436885
Huawei,Android,15.32,yes,no,10.5,16,128,4,4000,163,2020,306,4.872828107,5.478970866,11.06307688
Huawei,Android,20.32,yes,no,5,2,16,2,5100,310,2020,231,4.170533701,4.598246271,9.301645558
Huawei,Android,15.37,yes,yes,10.5,16,128,8,4000,189,2020,205,4.709440107,5.765661212,18.31916698
Huawei,Android,25.5,yes,no,8,8,64,4,7250,450,2020,211,5.133088887,5.51877732,6.988657281
Huawei,Android,16.71,yes,yes,10.5,16,256,8,4200,226,2020,120,6.153455837,7.244220373,15.0570314
Huawei,Android,16.23,yes,no,10.5,8,64,4,4000,176,2020,161,4.644390899,5.0681492,8.361204145
Huawei,Android,25.6,yes,yes,13,8,128,6,7250,460,2020,139,5.18245748,6.310336373,17.8735146
Huawei,Android,16.23,yes,no,10.5,8,64,4,4000,176,2020,93,4.322143925,4.95342982,12.74441989
Huawei,Android,16.74,yes,no,13,16,128,6,4000,206,2019,460,5.065439086,5.672429397,10.70071161
Huawei,Android,15.34,yes,no,13,16,128,8,4200,183,2019,223,4.931375613,5.634110801,12.47286773
Huawei,Android,25.6,yes,no,13,8,128,6,7250,460,2019,256,4.997685135,6.107267847,18.16823398
Huawei,Android,15.9,yes,no,13,32,64,6,4000,178,2019,206,4.99653637,5.294560318,5.628870578
Huawei,Android,15.32,yes,no,13,16,64,6,4000,163,2019,488,4.537426534,5.306731865,14.49678165
Huawei,Android,16.23,yes,no,13,8,64,4,4000,176,2019,516,4.705286977,5.010968572,6.100249694
Huawei,Android,16.59,yes,yes,13,16,512,12,4500,198,2019,289,5.674182005,7.438006989,23.71367742
Huawei,Android,16.81,yes,yes,13,16,128,6,4200,196,2019,477,5.380450196,6.477264628,16.93329662
Huawei,Android,16.81,yes,no,13,16,128,6,4200,196,2019,195,5.014826499,6.313729189,20.5726703
Huawei,Android,15.9,yes,no,13,32,128,6,4000,178,2019,244,5.143474781,5.67029463,9.29087258
Huawei,Android,16.74,yes,no,13,16,128,4,4000,163.5,2019,376,4.839293241,5.250281918,7.827935403
Huawei,Android,25.6,yes,no,13,8,64,4,7500,498,2019,205,4.936629881,5.704781975,13.46505611
Huawei,Android,20.42,yes,no,13,8,128,6,6100,340,2019,406,5.294259143,5.856932654,9.606965698
Huawei,Android,20.42,yes,no,13,8,64,4,6100,320,2019,462,5.001190835,5.556287375,9.990421707
Huawei,Android,16.23,yes,no,13,32,128,8,3500,171,2019,333,5.428204627,5.9652489,9.002881221
Huawei,Android,16.23,yes,no,13,32,128,8,3500,171,2019,284,5.378560054,5.885520528,8.613689674
Huawei,Android,15.34,yes,no,13,24,128,6,4000,178,2019,202,5.058853866,5.562948291,9.061641393
Huawei,Android,15.34,yes,no,13,16,64,4,4000,178,2019,445,5.043683148,5.637785112,10.5378611
Huawei,Android,16.74,yes,no,13,16,64,4,4000,196.8,2019,375,4.607467545,5.638105528,18.2798633
Huawei,Android,10.16,no,no,5,2,16,4,1700,136.1,2014,666,3.579343567,4.70311326,23.89416607
Huawei,Android,17.78,no,no,3.15,0.3,8,1,4100,350,2013,819,3.982295058,5.016551095,20.61687437
Infinix,Android,17.32,yes,no,,8,32,2,6000,209,2020,245,4.282068168,4.59764192,6.863817528
Infinix,Android,15.39,yes,no,,8,64,4,5000,185,2020,173,4.363608049,4.711779921,7.389391649
Infinix,Android,15.39,yes,no,,8,32,2,5000,185,2020,256,4.181439269,4.505460342,7.191741762
Infinix,Android,15.39,yes,no,,16,32,3,4000,178,2019,316,4.555244377,4.602165677,1.019548258
Infinix,Android,15.29,yes,no,,16,32,2,4000,165,2019,468,4.416669578,4.871296595,9.332772253
Lava,Android,14.5,yes,no,,5,32,2,3200,150,2020,356,3.989909544,4.381026134,8.927510999
Lava,Android,12.7,no,no,5,0.3,8,0.5,3000,147.6,2016,819,3.495598057,4.113002744,15.01104486
Lenovo,Android,25.43,yes,no,8,5,32,3,7000,520,2020,233,4.726768158,5.20136584,9.12448185
Lenovo,Android,25.43,no,no,8,5,64,4,7000,580,2019,419,5.214881408,5.775141434,9.701234721
Lenovo,Android,15.47,yes,no,8,5,16,2,4000,172,2019,267,3.940610462,4.591071262,14.16795259
Lenovo,Android,20.32,yes,no,13,5,16,2,5100,305,2019,461,4.779375562,5.066133071,5.66028379
Lenovo,Android,20.32,yes,no,5,2,16,2,5000,305,2019,423,4.463721822,4.938064601,9.605843935
Lenovo,Android,17.78,yes,no,2,2,32,1,3590,236,2019,528,3.896096855,4.606768907,15.42669203
Lenovo,Android,16.23,yes,no,8,16,64,6,4000,159,2019,254,4.423648309,5.524974737,19.93360116
Lenovo,Android,16.23,yes,yes,8,32,128,6,4000,185,2019,370,5.342812606,5.992264227,10.83816728
Lenovo,Android,15.32,yes,no,8,16,64,4,4050,164,2019,482,4.676839473,5.062468443,7.617409853
Lenovo,Android,25.43,yes,no,8,8,16,2,8400,655,2016,691,5.056182109,5.191233144,2.601521281
LG,Android,16.59,yes,no,5,16,64,4,4000,196.5,2020,273,4.879082894,5.601491318,12.89671595
LG,Android,15.44,yes,no,5,13,64,3,4000,219,2020,349,4.350148896,5.299466706,17.91345927
LG,Others,5.28,yes,no,2,13,8,1,1470,127,2020,343,3.875566468,5.015689168,22.7311275
LG,Android,15.44,yes,yes,5,10,128,8,5000,218,2020,352,4.734442522,6.768240306,30.04913673
LG,Android,15.44,yes,yes,5,10,128,8,5000,213,2020,142,5.476463552,6.55079458,16.40001094
LG,Android,15.37,yes,no,5,13,32,3,4000,196.5,2020,92,4.636959508,5.481430277,15.40602956
LG,Android,14.5,yes,no,8,8,32,3,3450,170,2020,166,4.230767603,4.870683334,13.13810993
LG,Android,25.43,yes,no,8,5,32,4,8200,498,2019,329,4.709620287,5.82953368,19.21102878
LG,Android,15.34,yes,yes,8,32,256,8,4000,192,2019,383,5.467680322,7.003174544,21.92568831
LG,Android,15.34,yes,no,8,16,64,4,4000,198,2019,443,4.696928611,5.766225051,18.54413296
LG,Android,13.84,yes,no,8,5,16,2,3000,148,2019,257,4.255328982,4.944353031,13.93557549
LG,Android,13.84,yes,no,8,5,16,1,3000,152,2019,380,4.08933202,4.606369467,11.22440244
LG,Android,15.27,yes,no,8,13,32,2,3500,186,2019,255,4.64352514,5.082211493,8.63180042
LG,Android,15.37,yes,no,8,13,32,3,4000,194,2019,512,4.550608398,5.304299438,14.20905906
LG,Android,15.8,yes,no,8,16,64,4,4050,172,2019,223,4.461877016,5.248023572,14.97985947
LG,Android,15.9,yes,no,8,16,32,3,4000,175,2019,200,4.582310892,4.864607093,5.803062726
LG,Android,15.72,yes,no,8,8,32,3,4000,164,2019,210,4.373994463,4.694645192,6.830137654
LG,Android,15.29,yes,no,13,5,32,3,3500,179,2019,216,4.517649588,5.300415165,14.76800501
LG,Android,15.29,yes,no,16,5,64,4,3300,172,2018,724,4.887940214,5.704049106,14.30753622
LG,Android,12.83,yes,no,13,5,16,2,4500,171,2018,628,4.358630057,5.191066176,16.03593733
LG,Android,7.62,no,no,2,1.3,4,0.5,1540,140.45,2014,750,3.027715319,3.925925911,22.87894913
Meizu,Android,15.39,yes,yes,,20,128,8,4500,199,2020,186,5.167866937,6.272027589,17.60452479
Meizu,Android,15.37,yes,no,,16,128,6,4500,183,2019,449,4.665512415,5.526329049,15.57664457
Meizu,Android,15.37,yes,no,,8,32,2,4000,184,2019,190,4.290185431,5.195176608,17.41983469
Meizu,Android,15.29,yes,no,,20,128,6,3600,166,2019,459,4.721084811,5.830679408,19.03027965
Meizu,Android,15.29,yes,no,,16,64,6,4000,165,2019,517,4.842295535,5.388660686,10.13916412
Meizu,Android,15.29,yes,no,,20,128,6,3600,165,2019,332,4.959412173,6.040659391,17.89948991
Micromax,Android,10.16,no,no,2,0.3,0.5,0.25,1500,146.5,2014,1016,3.043569603,3.926714554,22.49068372
Micromax,Android,7.75,no,no,0.3,0.3,0.5,0.25,1500,89,2014,956,2.386926241,3.664842876,34.86961592
Micromax,Android,10.03,no,no,2,0.3,0.2,0.25,2000,85,2013,680,2.856470206,4.244630641,32.7039159
Micromax,Android,10.16,no,no,2,0.3,16,4,2000,89,2013,733,3.108614431,4.094844437,24.08467577
Micromax,Android,7.75,no,no,0.3,0.3,16,4,2000,89,2013,1029,2.989714201,3.884240624,23.02963461
Motorola,Android,15.37,yes,no,,16,128,6,5000,210,2020,242,4.829672813,5.704848573,15.34091131
Motorola,Android,15.42,yes,yes,,25,256,12,5000,203,2020,220,5.186882886,7.090784918,26.85037064
Nokia,Android,16.56,yes,no,0.3,8,64,3,4000,200,2020,310,4.186011751,5.004885462,16.36148753
Nokia,Android,13.84,yes,no,0.3,5,16,2,3000,180,2020,193,3.616308761,4.100160948,11.80080961
Nokia,Android,13.84,yes,no,0.3,5,16,2,3000,180,2020,356,4.055430469,4.591983624,11.6845616
Nokia,Others,5.18,no,no,0.3,0,0.1,0.03,1020,90.5,2020,272,2.910174385,3.399863159,14.40319069
Nokia,Others,5.18,no,no,0.3,0,0.06,,1020,91.3,2020,288,2.729159164,2.911263117,6.255152684
Nokia,Android,17.3,yes,yes,0.3,24,64,6,4500,220,2020,284,5.314043067,6.216845593,14.52187468
Nokia,Others,5.18,no,no,0.3,0,0.06,0.02,1200,88.2,2020,266,3.370738174,3.699077279,8.876243458
Nokia,Others,5.18,yes,no,0.3,0,,0.02,1200,86.5,2019,234,2.721295428,3.688379329,26.21975168
OnePlus,Android,16.64,yes,yes,,16,128,8,4300,180,2020,110,5.620944196,6.609308811,14.95412975
OnePlus,Android,16.64,yes,yes,,16,128,8,4300,180,2020,208,5.288166015,6.474106722,18.31821374
OnePlus,Android,16.94,yes,yes,,16,256,12,4085,206,2019,458,5.713402718,6.686160528,14.54882523
OnePlus,Android,16.94,yes,yes,,16,128,6,4000,206,2019,294,5.670983763,6.686647155,15.18942705
Oppo,Android,16.64,yes,yes,,32,128,8,4000,172,2020,187,5.170881643,6.153455837,15.96784344
Oppo,Android,16.33,yes,yes,,32,128,8,4000,183,2020,271,5.009634794,5.910254492,15.2382558
Oppo,Android,16.69,yes,yes,,32,128,6,4000,184,2020,100,5.033895988,5.672842052,11.26324439
Oppo,Android,16.64,yes,yes,,16,128,8,4000,186,2020,186,5.116615618,6.253482598,18.17974164
Oppo,Android,15.29,yes,no,,8,64,3,4230,168,2020,273,4.578312732,4.782479201,4.26905085
Oppo,Android,15.34,yes,yes,,32,128,8,4025,180,2020,146,5.412315471,5.98838481,9.619778242
Oppo,Android,15.34,yes,yes,8,32,128,8,4025,181,2019,397,4.868380247,6.088023946,20.0334905
Oppo,Android,15.37,yes,no,8,8,128,4,4230,180,2019,411,4.57037168,5.01588814,8.882105174
Oppo,Android,15.34,yes,no,8,25,128,6,3600,169.5,2019,276,4.936199063,5.632572862,12.36333406
Oppo,Android,15.34,yes,no,8,32,128,4,4035,186,2019,205,4.94178527,5.800667172,14.80660546
Oppo,Android,16.59,yes,no,8,16,128,6,4020,190,2019,321,4.656718448,5.556287375,16.190108
Oppo,Android,15.39,yes,yes,8,16,256,8,4065,215,2019,392,5.295613715,6.780830585,21.90317029
Oppo,Android,15.27,yes,no,8,5,32,2,4000,170,2019,296,4.322011202,4.605670061,6.158905333
Oppo,Android,15.29,yes,no,13,8,32,3,4230,168,2018,664,4.457713717,5.437252881,18.01533211
Oppo,Android,10.29,yes,no,8,5,8,1,2000,135,2015,1076,4.02463715,5.009968405,19.66741455
Others,Android,16.43,yes,yes,8,20,128,6,4000,171,2019,317,5.570212986,6.803360963,18.12557034
Realme,Android,15.37,yes,no,,16,64,4,4300,191,2020,289,4.702659807,5.302060353,11.30504947
Realme,Android,15.37,yes,no,,16,128,4,5000,199,2020,338,4.941570991,5.0141624,1.447727521
Realme,Android,15.37,yes,no,,5,32,3,5000,195,2020,111,4.498364182,4.606569207,2.348928674
Realme,Android,15.27,yes,no,,5,32,3,4000,166,2020,167,2.896464272,3.690877457,21.52369441
Realme,Android,15.27,yes,no,,5,32,2,4000,166,2019,399,4.288677032,4.611351045,6.997385579
Samsung,Android,20.32,yes,no,5,2,16,1.5,4200,313,2015,909,4.32611744,5.348202169,19.11080952
Others,Android,15.34,yes,no,2,8,256,8,3130,141,2020,135,4.915665057,6.508292123,24.47073727
Others,Android,12.93,yes,no,8,8,64,4,3090,173,2019,523,4.180522258,5.34563025,21.79552153
Others,Android,16.59,yes,yes,2,16,128,6,4500,210,2020,234,5.020849617,5.985371019,16.11464684
Others,Android,16.59,yes,no,8,24,128,6,3820,192,2019,414,5.036303041,5.802239214,13.20069967
Others,Android,17.78,yes,no,2,16,64,4,6000,220,2020,135,4.378896742,4.80557721,8.878859903
Others,Android,15.39,yes,no,2,8,32,2,5000,206.5,2020,153,4.084294226,4.791151704,14.75339379
Others,Android,15.39,yes,no,2,16,128,6,4000,203,2020,125,4.919469846,5.393172898,8.78338338
Others,Android,12.83,yes,no,2,5,16,2,2700,153,2020,123,3.629394807,4.246493239,14.53195371
Others,Android,12.7,yes,no,2,5,32,4,4000,234,2020,220,3.974809994,4.699388861,15.41857651
Others,Android,12.7,yes,no,13,5,16,2,4000,234,2020,173,4.29374172,4.382276603,2.020294268
Others,Android,15.42,yes,no,12,16,128,8,5000,159,2018,413,5.175471537,5.700042155,9.202925237
Vivo,Android,16.36,yes,no,,32,128,8,4500,176,2020,343,5.052864298,5.766694674,12.37850131
Vivo,Android,16.59,yes,no,,16,64,4,5000,204.1,2020,246,4.801065863,5.068904202,5.283949515
Vivo,Android,16.66,yes,yes,,32,128,8,4315,181.5,2020,145,5.560335417,6.446116566,13.74131448
Vivo,Android,16.21,yes,no,,16,128,8,4500,190.2,2020,300,4.847331743,5.702781974,15.00057752
Vivo,Android,16.43,yes,no,,8,128,4,5000,197,2020,118,4.823260994,5.249652195,8.122275251
Vivo,Android,16.69,yes,yes,,16,128,6,4500,198.1,2020,312,4.95434709,5.857447322,15.41798299
Vivo,Android,17.5,yes,yes,,16,256,8,4500,219.5,2020,226,5.466878008,6.447290015,15.20657524
Vivo,Android,16.36,yes,no,,32,128,8,4500,176,2020,199,5.192623462,5.599199434,7.26132328
Vivo,Android,16.36,yes,yes,13,32,128,8,4350,196.5,2019,279,5.288014474,6.04545545,12.52909698
Vivo,Android,16.21,yes,no,13,16,128,8,4500,198.5,2019,212,4.770599875,5.79331844,17.65341532
Vivo,Android,16.59,yes,no,13,16,128,8,5000,193,2019,188,5.064302435,5.435249221,6.824834905
Vivo,Android,16.21,yes,no,13,32,128,8,4500,186.7,2019,264,5.104732617,5.801816215,12.01492037
Vivo,Android,16.13,yes,no,13,8,64,3,5000,191.5,2019,230,4.417755682,4.886809035,9.598356507
Vivo,Android,16.21,yes,no,13,16,64,6,4500,198.5,2019,259,4.601664047,5.55971963,17.23208447
Vivo,Android,16.13,yes,no,13,8,64,4,5000,190,2019,349,4.59360355,4.941928096,7.048353178
Vivo,Android,16.13,yes,no,13,16,128,4,5000,190.5,2019,500,4.907346705,5.245812813,6.452119434
Vivo,Android,17.5,yes,yes,13,16,256,8,4500,218.5,2019,288,4.94071342,6.594864794,25.08241527
Vivo,Android,17.5,yes,no,13,16,128,8,4500,217.3,2019,391,5.278471738,6.461014949,18.30274686
Vivo,Android,16.28,yes,yes,13,12,128,8,4500,217,2019,204,4.911109575,6.215967174,20.99202847
Vivo,Android,16.28,yes,no,13,12,128,8,4500,215,2019,293,5.144350003,6.015376367,14.47999777
Vivo,Android,15.8,yes,no,8,5,16,2,4030,163.5,2019,456,3.966132331,4.485598051,11.58074607
Vivo,Android,16.21,yes,no,13,32,128,6,4500,179,2019,224,5.206859756,5.635896134,7.612567155
Vivo,Android,16.21,yes,no,13,12,64,6,4500,198.5,2019,451,4.735671994,5.523458921,14.26256515
Vivo,Android,16.59,yes,no,13,16,64,4,5000,204.1,2019,338,4.956108708,5.304746654,6.572188433
Vivo,Android,16.23,yes,no,13,16,128,6,3700,185,2019,455,4.755829062,5.736217396,17.09119907
Vivo,Android,15.9,yes,no,13,16,64,4,3260,150,2019,431,4.614625345,5.071291288,9.004924329
Vivo,Android,16.13,yes,no,13,20,128,4,5000,190.5,2019,334,4.761831996,5.440511132,12.47454733
Vivo,Android,16.59,yes,no,13,16,128,6,3940,189.5,2019,415,5.116315759,5.561604282,8.006476197
Vivo,Android,15.8,yes,no,13,5,16,2,4030,163.5,2019,266,4.382151627,4.607966273,4.900527318
Vivo,Android,10.29,no,no,5,2,4,0.5,1900,130,2013,931,3.379292546,4.6998438,28.09776899
Others,Android,12.93,yes,no,8,8,32,3,3400,145,2019,407,4.421487704,5.199380619,14.9612612
Others,Android,14.4,yes,no,13,8,16,2,2920,160,2019,233,4.523526197,5.013098924,9.765870062
Others,Android,15.21,yes,no,8,5,16,2,4000,185,2019,423,4.131800899,4.405498991,6.212646798
Others,Android,15.32,yes,no,8,16,128,6,4000,184,2019,470,4.857950206,5.52589109,12.08747826
Others,Android,15.9,yes,no,8,8,64,3,4000,178,2019,280,4.33781348,5.196616812,16.52620085
Xiaomi,Android,16.69,yes,yes,,20,128,8,4520,208,2020,318,4.852498904,5.664244378,14.33104612
Xiaomi,Android,16.69,yes,yes,,16,64,6,4520,205,2020,301,4.977492076,5.301312876,6.10831331
Xiaomi,Android,16.94,yes,yes,,16,128,6,4800,208,2020,319,5.120923648,5.523139508,7.28237734
Xiaomi,Android,16.94,yes,yes,,16,128,6,4500,208,2020,184,5.026246142,5.563792173,9.661504497
Xiaomi,Android,16.94,yes,no,,32,64,6,5020,209,2020,256,4.966753066,5.198718001,4.46196418
Xiaomi,Android,15.8,yes,no,,8,32,2,5000,188,2020,265,4.344065128,4.49535532,3.365477948
Xiaomi,Android,15.8,yes,no,,8,32,2,5000,188,2020,321,3.421000009,4.39222446,22.11235923
Xiaomi,Android,16.94,yes,no,,16,64,6,4500,208,2020,169,4.967310169,5.295513439,6.197761063
Xiaomi,Android,20.12,yes,yes,12,20,512,12,4050,241,2019,478,6.619433002,7.823341763,15.38867657
Xiaomi,Android,16.23,yes,no,12,20,128,8,4000,196,2019,382,5.360587692,6.211302641,13.69624052
Xiaomi,Android,16.23,yes,no,12,16,128,8,4000,191,2019,374,5.192289962,6.107267847,14.9817874
Xiaomi,Android,15.27,yes,no,12,32,64,4,4030,173.8,2019,396,4.792396362,5.129188404,6.566185827
Xiaomi,Android,16.23,yes,no,12,32,64,6,4030,179,2019,406,4.886280713,5.56819182,12.24654482
Xiaomi,Android,15.32,yes,no,12,13,32,3,4000,186,2019,338,4.687395126,4.939282497,5.09967533
ZTE,Android,16.89,yes,yes,,12,256,8,5100,215,2020,235,5.390850968,6.394693824,15.69805973
ZTE,Android,16.89,yes,yes,,12,128,6,5100,210,2020,278,4.652053772,5.740146547,18.95583616
ZTE,Android,15.24,yes,no,14.5,8,32,3,4000,160,2019,386,4.272211769,4.493232533,4.918970082
ZTE,Android,15.47,yes,no,16,5,32,3,3200,165,2019,325,4.408059812,4.485936098,1.736009705
ZTE,Android,15.32,yes,no,14.5,16,64,3,3200,165,2019,347,4.498697941,5.080658745,11.45443599
ZTE,Android,16.48,yes,no,14.5,8,128,4,5000,190,2019,343,4.57316339,4.872292344,6.139388462
ZTE,Android,16.89,yes,no,48,16,128,8,5000,215,2019,336,5.668051665,6.708779812,15.51292748
ZTE,Android,16.31,yes,no,14.5,8,128,6,4000,186,2019,330,5.243913978,6.312478634,16.92781422
ZTE,Android,13.84,yes,no,13,8,16,2,2600,157,2019,474,4.297421451,4.383650316,1.967056193
ZTE,Android,12.7,yes,no,8,5,16,1,2000,144,2019,349,3.803992261,4.120986493,7.692192938
ZTE,Android,12.7,no,no,8,5,16,1,2000,144,2019,385,3.931433399,4.102643365,4.173162295
ZTE,Android,16.89,yes,no,48,16,64,6,5000,215,2019,506,5.263725922,6.217723241,15.34319367
ZTE,Android,16.43,yes,no,14.5,20,128,6,4000,175,2019,333,5.029718709,6.15296671,18.25538889
ZTE,Android,13.84,yes,no,13,8,16,2,3200,135,2018,595,4.450152464,5.002468705,11.04087349
ZTE,Android,15.27,yes,no,16,5,32,2,3200,146,2019,420,4.339249605,4.412192049,1.653201928
Honor,Android,14.5,yes,no,13,5,64,3,3020,146,2020,138,4.466367783,4.695467824,4.87917391
Honor,Android,17.3,yes,yes,13,16,128,8,4300,213,2020,268,5.051905188,5.520660598,8.490929694
Honor,Android,16.69,yes,yes,13,8,128,8,4200,213,2020,195,5.018008048,5.884157694,14.72002776
Honor,Android,25.5,yes,yes,13,8,64,6,7250,480,2020,272,4.903346996,5.634075062,12.96979643
Honor,Android,15.32,yes,no,13,8,64,3,5000,185,2020,346,4.477791257,4.943355241,9.41797547
Honor,Android,16.23,yes,no,13,8,64,4,4000,176,2020,362,4.466597536,5.076423035,12.01289756
Honor,Android,13.84,yes,no,8,5,32,2,3020,144,2020,355,3.961574784,4.507116246,12.10400248
Honor,Android,15.77,yes,no,13,8,64,4,3400,164,2020,202,4.776093698,5.202852175,8.202394814
Honor,Android,15.32,yes,no,13,16,128,6,4000,165,2020,310,4.803775113,5.297717186,9.323677646
Honor,Android,16.23,yes,no,13,8,128,6,4000,176,2020,141,4.831747834,5.067456614,4.651421767
Honor,Android,15.47,yes,no,13,8,64,3,3020,150,2020,228,4.476199805,4.689695141,4.552435277
Honor,Android,15.32,yes,no,13,8,64,4,5000,185,2020,213,4.609859175,4.781892764,3.597604495
Honor,Android,16.69,yes,yes,13,16,128,8,4100,206,2019,504,5.17252736,6.211262508,16.72341407
Honor,Android,15.32,yes,no,13,16,64,4,4000,171.5,2019,371,4.797194518,5.391352233,11.02056941
Honor,Android,14.5,yes,no,13,5,32,2,3020,146,2019,201,4.220095768,4.49635928,6.144160081
Honor,Android,16.23,yes,no,13,8,64,4,4000,176,2019,354,4.415944853,4.86753445,9.277583993
Honor,Android,15.9,yes,no,13,32,128,6,3750,172,2019,311,5.180209278,5.515845179,6.084940569
Honor,Android,16.74,yes,no,13,16,64,4,4000,206,2019,524,4.679349584,5.188167623,9.80727833
Honor,Android,14.5,yes,no,13,5,32,2,3020,146,2019,388,4.055776969,4.793059547,15.3822954
Honor,Android,25.43,yes,no,5,2,32,3,5100,173,2019,234,4.53999146,5.523937848,17.81240874
Honor,Android,20.32,yes,no,8,8,32,3,5100,173,2019,251,4.294560609,5.296114943,18.91111399
Others,Android,20.32,no,no,8,0.3,16,1,5680,453.6,2013,1048,4.899852698,5.488152294,10.71944736
HTC,Android,15.29,yes,no,13,16,32,3,3850,170,2019,194,4.829033478,5.185652461,6.877032074
HTC,Android,12.88,yes,no,13,13,64,4,3075,150,2019,385,4.860277413,5.392080896,9.86267627
HTC,Android,15.29,yes,no,13,8,32,3,3300,160,2019,323,4.388008706,5.009100784,12.39927294
HTC,Android,15.24,yes,no,13,14.5,128,6,3930,180,2019,489,4.633951987,6.033589692,23.19742933
